id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
25,Can add Apoderado,7,add_apoderado_solicitud
26,Can change Apoderado,7,change_apoderado_solicitud
27,Can delete Apoderado,7,delete_apoderado_solicitud
28,Can view Apoderado,7,view_apoderado_solicitud
29,Can add Centro_conciliacion,8,add_centro_conciliacion
30,Can change Centro_conciliacion,8,change_centro_conciliacion
31,Can delete Centro_conciliacion,8,delete_centro_conciliacion
32,Can view Centro_conciliacion,8,view_centro_conciliacion
33,Can add Ciudad,9,add_ciudad
34,Can change Ciudad,9,change_ciudad
35,Can delete Ciudad,9,delete_ciudad
36,Can view Ciudad,9,view_ciudad
37,Can add Estado_solicitud,10,add_estado_solicitud
38,Can change Estado_solicitud,10,change_estado_solicitud
39,Can delete Estado_solicitud,10,delete_estado_solicitud
40,Can view Estado_solicitud,10,view_estado_solicitud
41,Can add estratos_socioeconomicos,11,add_estrato_socioeconomico
42,Can change estratos_socioeconomicos,11,change_estrato_socioeconomico
43,Can delete estratos_socioeconomicos,11,delete_estrato_socioeconomico
44,Can view estratos_socioeconomicos,11,view_estrato_socioeconomico
45,Can add Genero,12,add_genero
46,Can change Genero,12,change_genero
47,Can delete Genero,12,delete_genero
48,Can view Genero,12,view_genero
49,Can add Pais,13,add_pais
50,Can change Pais,13,change_pais
51,Can delete Pais,13,delete_pais
52,Can view Pais,13,view_pais
53,Can add Persona,14,add_persona_solicitud
54,Can change Persona,14,change_persona_solicitud
55,Can delete Persona,14,delete_persona_solicitud
56,Can view Persona,14,view_persona_solicitud
57,Can add Sexo,15,add_sexo
58,Can change Sexo,15,change_sexo
59,Can delete Sexo,15,delete_sexo
60,Can view Sexo,15,view_sexo
61,Can add Tipo_cliente,16,add_tipo_cliente
62,Can change Tipo_cliente,16,change_tipo_cliente
63,Can delete Tipo_cliente,16,delete_tipo_cliente
64,Can view Tipo_cliente,16,view_tipo_cliente
65,Can add Tipo_documento,17,add_tipo_documento
66,Can change Tipo_documento,17,change_tipo_documento
67,Can delete Tipo_documento,17,delete_tipo_documento
68,Can view Tipo_documento,17,view_tipo_documento
69,Can add Tipo_persona,18,add_tipo_persona
70,Can change Tipo_persona,18,change_tipo_persona
71,Can delete Tipo_persona,18,delete_tipo_persona
72,Can view Tipo_persona,18,view_tipo_persona
73,Can add Solicitud,19,add_solicitud
74,Can change Solicitud,19,change_solicitud
75,Can delete Solicitud,19,delete_solicitud
76,Can view Solicitud,19,view_solicitud
77,Can add Relacion_persona_solicitud,20,add_relacion_persona_solicitud
78,Can change Relacion_persona_solicitud,20,change_relacion_persona_solicitud
79,Can delete Relacion_persona_solicitud,20,delete_relacion_persona_solicitud
80,Can view Relacion_persona_solicitud,20,view_relacion_persona_solicitud
81,Can add Hechos,21,add_hechos_solicitud
